"Country or Area Code","Country or Area","Year","Value"
"AFG","Afghanistan","2008","7898909"
"ALB","Albania","2008","3141187"
"AND","Andorra","2008","64202"
"AGO","Angola","2008","6773356"
"ATG","Antigua and Barbuda","2008","136592"
"ARG","Argentina","2008","4.650878E+07"
"ABW","Aruba","2008","127066"
"AUS","Australia","2008","2.212E+07"
"AUT","Austria","2008","1.0816E+07"
"AZE","Azerbaijan","2008","6548000"
"BHS","Bahamas","2008","358050"
"BHR","Bahrain","2008","1400000"
"BGD","Bangladesh","2008","4.464E+07"
"BEL","Belgium","2008","1.182219E+07"
"BLZ","Belize","2008","160032"
"BEN","Benin","2008","3435000"
"BTN","Bhutan","2008","251000"
"BOL","Bolivia","2008","4830000"
"BIH","Bosnia and Herzegovina","2008","3179036"
"BWA","Botswana","2008","1485791"
"BRA","Brazil","2008","1.506414E+08"
"BGR","Bulgaria","2008","1.063327E+07"
"BFA","Burkina Faso","2008","2553000"
"BDI","Burundi","2008","480584"
"KHM","Cambodia","2008","4237000"
"CMR","Cameroon","2008","6160893"
"CAN","Canada","2008","2.145519E+07"
"CPV","Cape Verde","2008","277670"
"CAF","Central African Rep.","2008","154000"
"TCD","Chad","2008","1809000"
"CHL","Chile","2008","1.479659E+07"
"CHN","China","2008","6.34E+08"
"COL","Colombia","2008","4.136475E+07"
"COG","Congo","2008","1807000"
"ZAR","Congo (Democratic Republic of the)","2008","9262853"
"CRI","Costa Rica","2008","1886570"
"CIV","Cote d'Ivoire","2008","1.044904E+07"
"HRV","Croatia","2008","5924000"
"CUB","Cuba","2008","331736"
"CYP","Cyprus","2008","1016739"
"CZE","Czech Republic","2008","1.378017E+07"
"DNK","Denmark","2008","6550718"
"DOM","Dominican Rep.","2008","7210483"
"ECU","Ecuador","2008","1.159508E+07"
"EGY","Egypt","2008","4.127247E+07"
"SLV","El Salvador","2008","6950703"
"GNQ","Equatorial Guinea","2008","346000"
"ERI","Eritrea","2008","108631"
"EST","Estonia","2008","2524465"
"ETH","Ethiopia","2008","3168271"
"FRO","Faroe Islands","2008","54860"
"FIN","Finland","2008","6830000"
"FRA","France","2008","5.7972E+07"
"PYF","French Polynesia","2008","187146"
"GAB","Gabon","2008","1300000"
"GMB","Gambia","2008","1166136"
"DEU","Germany","2008","1.07245E+08"
"GHA","Ghana","2008","1.157043E+07"
"GRC","Greece","2008","1.379934E+07"
"GRD","Grenada","2008","60022"
"GTM","Guatemala","2008","1.494864E+07"
"GIN","Guinea","2008","2600000"
"GNB","Guinea-Bissau","2008","500156"
"HTI","Haiti","2008","3200000"
"HND","Honduras","2008","6210711"
"HKG","Hong Kong, China","2008","1.137422E+07"
"HUN","Hungary","2008","1.222416E+07"
"IND","India","2008","3.4689E+08"
"IDN","Indonesia","2008","1.405782E+08"
"IRN","Iran (Islamic Rep. of)","2008","4.3E+07"
"IRL","Ireland","2008","5048127"
"ISR","Israel","2008","8982000"
"ITA","Italy","2008","8.858E+07"
"JAM","Jamaica","2008","2723323"
"JPN","Japan","2008","1.10395E+08"
"JOR","Jordan","2008","5313564"
"KAZ","Kazakhstan","2008","1.491057E+07"
"KEN","Kenya","2008","1.623383E+07"
"KOR","Korea (Rep. of)","2008","4.560698E+07"
"LBN","Lebanon","2008","1430000"
"LSO","Lesotho","2008","581000"
"LBR","Liberia","2008","732000"
"LTU","Lithuania","2008","5022638"
"LUX","Luxembourg","2008","707000"
"MAC","Macao, China","2008","932596"
"MDG","Madagascar","2008","4835239"
"MWI","Malawi","2008","1781000"
"MYS","Malaysia","2008","2.7125E+07"
"MDV","Maldives","2008","435627"
"MLI","Mali","2008","3267195"
"MLT","Malta","2008","385636"
"MRT","Mauritania","2008","2091992"
"MUS","Mauritius","2008","1033259"
"MEX","Mexico","2008","7.530347E+07"
"MDA","Moldova","2008","2420000"
"MAR","Morocco","2008","2.281569E+07"
"MOZ","Mozambique","2008","4405006"
"MMR","Myanmar","2008","375800"
"NAM","Namibia","2008","1052000"
"NLD","Netherlands","2008","1.9927E+07"
"NCL","New Caledonia","2008","196474"
"NZL","New Zealand","2008","4620000"
"NIC","Nicaragua","2008","3038875"
"NER","Niger","2008","1677000"
"NGA","Nigeria","2008","6.298849E+07"
"OMN","Oman","2008","3219349"
"PAK","Pakistan","2008","8.801974E+07"
"PAN","Panama","2008","3804731"
"PRY","Paraguay","2008","5790759"
"PER","Peru","2008","2.095183E+07"
"PHL","Philippines","2008","6.810181E+07"
"PRT","Portugal","2008","1.49096E+07"
"QAT","Qatar","2008","1682980"
"ROM","Romania","2008","2.4467E+07"
"RUS","Russia","2008","1.875E+08"
"RWA","Rwanda","2008","1322637"
"LCA","Saint Lucia","2008","169600"
"SMR","San Marino","2008","17700"
"STP","Sao Tome and Principe","2008","49000"
"SAU","Saudi Arabia","2008","3.615E+07"
"SEN","Senegal","2008","5389133"
"SRB","Serbia","2008","9618767"
"SYC","Seychelles","2008","85320"
"SLE","Sierra Leone","2008","1008800"
"SGP","Singapore","2008","6375500"
"SVK","Slovak Republic","2008","5520043"
"SVN","Slovenia","2008","2054899"
"ZAF","South Africa","2008","4.5E+07"
"ESP","Spain","2008","4.968162E+07"
"LKA","Sri Lanka","2008","1.108225E+07"
"VCT","St. Vincent and the Grenadines","2008","130098"
"SDN","Sudan","2008","1.118655E+07"
"SWZ","Swaziland","2008","457000"
"CHE","Switzerland","2008","8780000"
"SYR","Syria","2008","7056158"
"MKD","T.F.Y.R. Macedonia","2008","2501938"
"TWN","Taiwan, China","2008","2.541251E+07"
"TZA","Tanzania","2008","1.300679E+07"
"TGO","Togo","2008","1547000"
"TON","Tonga","2008","50472"
"TUN","Tunisia","2008","8569312"
"TUR","Turkey","2008","6.582411E+07"
"UGA","Uganda","2008","8554864"
"UKR","Ukraine","2008","5.569446E+07"
"ARE","United Arab Emirates","2008","9357735"
"GBR","United Kingdom","2008","7.556544E+07"
"USA","United States","2008","2.705E+08"
"URY","Uruguay","2008","3507816"
"UZB","Uzbekistan","2008","1.265007E+07"
"VEN","Venezuela","2008","2.708384E+07"
"VNM","Viet Nam","2008","7E+07"
"ZMB","Zambia","2008","3539003"
"ZWE","Zimbabwe","2008","1654721"